model,seed,mode,episode,reward
lunarlander_ppo_improved,0,greedy,5,-105.5436
lunarlander_ppo_improved,0,greedy,6,191.2278
lunarlander_ppo_improved,0,greedy,7,-24.2486
lunarlander_ppo_improved,0,greedy,8,-53.5248
lunarlander_ppo_improved,0,greedy,9,204.2651
lunarlander_ppo_improved,0,greedy,10,185.8984
lunarlander_ppo_improved,0,greedy,11,-66.7372
lunarlander_ppo_improved,0,greedy,12,228.3779
lunarlander_ppo_improved,0,greedy,13,198.355
lunarlander_ppo_improved,0,greedy,14,226.2781
lunarlander_ppo_improved,0,greedy,15,219.8404
lunarlander_ppo_improved,0,greedy,16,-65.0747
lunarlander_ppo_improved,0,greedy,17,-110.3502
lunarlander_ppo_improved,0,greedy,18,193.6539
lunarlander_ppo_improved,0,greedy,19,209.0921
lunarlander_ppo_improved,0,greedy,20,208.338
lunarlander_ppo_improved,0,stochastic,1,219.0356
lunarlander_ppo_improved,0,stochastic,2,-48.0149
lunarlander_ppo_improved,0,stochastic,3,232.4991
lunarlander_ppo_improved,0,stochastic,4,204.0476
lunarlander_ppo_improved,0,stochastic,5,-49.2642
lunarlander_ppo_improved,0,stochastic,6,222.3118
lunarlander_ppo_improved,0,stochastic,7,105.4756
lunarlander_ppo_improved,0,stochastic,8,-35.0993
lunarlander_ppo_improved,0,stochastic,9,-72.7342
lunarlander_ppo_improved,0,stochastic,10,-15.1646
lunarlander_ppo_improved,0,stochastic,11,-7.3141
lunarlander_ppo_improved,0,stochastic,12,159.1403
lunarlander_ppo_improved,0,stochastic,13,-49.73
lunarlander_ppo_improved,0,stochastic,14,244.352
lunarlander_ppo_improved,0,stochastic,15,-58.6028
lunarlander_ppo_improved,0,stochastic,16,-89.8799
lunarlander_ppo_improved,0,stochastic,17,189.8695
lunarlander_ppo_improved,0,stochastic,18,-54.0564
lunarlander_ppo_improved,0,stochastic,19,-50.2133
lunarlander_ppo_improved,0,stochastic,20,184.8986
lunarlander_ppo_improved,1,greedy,1,-120.9023
lunarlander_ppo_improved,1,greedy,2,-118.2047
lunarlander_ppo_improved,1,greedy,3,181.2572
lunarlander_ppo_improved,1,greedy,4,-44.47
lunarlander_ppo_improved,1,greedy,5,175.5422
lunarlander_ppo_improved,1,greedy,6,113.5129
lunarlander_ppo_improved,1,greedy,7,-42.8069
lunarlander_ppo_improved,1,greedy,8,-53.7841
lunarlander_ppo_improved,1,greedy,9,190.5671
lunarlander_ppo_improved,1,greedy,10,145.4833
lunarlander_ppo_improved,1,greedy,11,-151.0791
lunarlander_ppo_improved,1,greedy,12,-130.808
lunarlander_ppo_improved,1,greedy,13,-61.8756
lunarlander_ppo_improved,1,greedy,14,183.6494
lunarlander_ppo_improved,1,greedy,15,-130.0389
lunarlander_ppo_improved,1,greedy,16,-34.9119
lunarlander_ppo_improved,1,greedy,17,-71.4404
lunarlander_ppo_improved,1,greedy,18,222.2227
lunarlander_ppo_improved,1,greedy,19,182.8846
lunarlander_ppo_improved,1,greedy,20,208.8921
lunarlander_ppo_improved,1,stochastic,1,-98.2414
lunarlander_ppo_improved,1,stochastic,2,191.2163
lunarlander_ppo_improved,1,stochastic,3,-56.6665
lunarlander_ppo_improved,1,stochastic,4,-31.5383
lunarlander_ppo_improved,1,stochastic,5,-20.9545
lunarlander_ppo_improved,1,stochastic,6,88.0456
lunarlander_ppo_improved,1,stochastic,7,-43.5588
lunarlander_ppo_improved,1,stochastic,8,173.8915
lunarlander_ppo_improved,1,stochastic,9,126.3445
