environment,algorithm,seed,episode,train_reward,eval_reward
LunarLander-v3,ppo,0,524,-108.4061,
LunarLander-v3,ppo,0,525,-120.3376,
LunarLander-v3,ppo,0,526,-140.6265,
LunarLander-v3,ppo,0,527,-253.3102,
LunarLander-v3,ppo,0,528,-110.5009,
LunarLander-v3,ppo,0,529,-101.1144,
LunarLander-v3,ppo,0,530,-81.1431,
LunarLander-v3,ppo,0,531,-158.2245,
LunarLander-v3,ppo,0,532,-74.455,
LunarLander-v3,ppo,0,533,-114.3628,
LunarLander-v3,ppo,0,534,-68.7891,
LunarLander-v3,ppo,0,535,-118.2026,
LunarLander-v3,ppo,0,536,-149.9114,
LunarLander-v3,ppo,0,537,-93.7608,
LunarLander-v3,ppo,0,538,-125.1568,
LunarLander-v3,ppo,0,539,-72.6523,
LunarLander-v3,ppo,0,540,-66.8853,-71.3646
LunarLander-v3,ppo,0,541,-40.4377,
LunarLander-v3,ppo,0,542,-99.4125,
LunarLander-v3,ppo,0,543,-48.1329,
LunarLander-v3,ppo,0,544,-118.3997,
LunarLander-v3,ppo,0,545,-107.3989,
LunarLander-v3,ppo,0,546,-55.9743,
LunarLander-v3,ppo,0,547,18.9017,
LunarLander-v3,ppo,0,548,-98.2289,
LunarLander-v3,ppo,0,549,-80.5642,
LunarLander-v3,ppo,0,550,-110.8939,
LunarLander-v3,ppo,0,551,-75.3853,
LunarLander-v3,ppo,0,552,-87.7543,
LunarLander-v3,ppo,0,553,-57.6141,
LunarLander-v3,ppo,0,554,-49.2296,
LunarLander-v3,ppo,0,555,-292.6302,
LunarLander-v3,ppo,0,556,-164.6947,
LunarLander-v3,ppo,0,557,-159.5368,
LunarLander-v3,ppo,0,558,-62.0992,
LunarLander-v3,ppo,0,559,-60.2567,
LunarLander-v3,ppo,0,560,-195.9429,-134.9586
LunarLander-v3,ppo,0,561,-106.9295,
LunarLander-v3,ppo,0,562,-116.4728,
LunarLander-v3,ppo,0,563,-118.6498,
LunarLander-v3,ppo,0,564,-52.8491,
LunarLander-v3,ppo,0,565,-84.8245,
LunarLander-v3,ppo,0,566,-120.346,
LunarLander-v3,ppo,0,567,-54.9075,
LunarLander-v3,ppo,0,568,-108.2154,
LunarLander-v3,ppo,0,569,-45.6243,
LunarLander-v3,ppo,0,570,-70.3447,
LunarLander-v3,ppo,0,571,-88.0806,
LunarLander-v3,ppo,0,572,-98.7563,
LunarLander-v3,ppo,0,573,-128.7088,
LunarLander-v3,ppo,0,574,-148.6485,
LunarLander-v3,ppo,0,575,-155.1246,
LunarLander-v3,ppo,0,576,-65.5213,
