environment,algorithm,seed,episode,train_reward,eval_reward,eval_reward_greedy,eval_reward_stochastic
MountainCar-v0,ppo,0,422,-142.0517,,,
MountainCar-v0,ppo,0,423,-171.8054,,,
MountainCar-v0,ppo,0,424,-182.0918,,,
MountainCar-v0,ppo,0,425,-153.3218,,,
MountainCar-v0,ppo,0,426,-113.7764,,,
MountainCar-v0,ppo,0,427,-190.799,,,
MountainCar-v0,ppo,0,428,-181.4235,,,
MountainCar-v0,ppo,0,429,-169.9144,,,
MountainCar-v0,ppo,0,430,-184.3253,,,
MountainCar-v0,ppo,0,431,-172.5651,,,
MountainCar-v0,ppo,0,432,-129.5276,,,
MountainCar-v0,ppo,0,433,-168.9897,,,
MountainCar-v0,ppo,0,434,-154.5718,,,
MountainCar-v0,ppo,0,435,-166.9614,,,
MountainCar-v0,ppo,0,436,-177.5978,,,
MountainCar-v0,ppo,0,437,-169.8868,,,
MountainCar-v0,ppo,0,438,-171.0163,,,
MountainCar-v0,ppo,0,439,-166.8715,,,
MountainCar-v0,ppo,0,440,-161.8795,-155.3715,-155.3715,-160.5556
MountainCar-v0,ppo,0,441,-171.2426,,,
MountainCar-v0,ppo,0,442,-175.5099,,,
MountainCar-v0,ppo,0,443,-135.8113,,,
MountainCar-v0,ppo,0,444,-174.2281,,,
MountainCar-v0,ppo,0,445,-164.5081,,,
MountainCar-v0,ppo,0,446,-194.6103,,,
MountainCar-v0,ppo,0,447,-190.3903,,,
MountainCar-v0,ppo,0,448,-165.1662,,,
MountainCar-v0,ppo,0,449,-173.7265,,,
MountainCar-v0,ppo,0,450,-149.2143,,,
MountainCar-v0,ppo,0,451,-174.2932,,,
MountainCar-v0,ppo,0,452,-167.502,,,
MountainCar-v0,ppo,0,453,-170.226,,,
MountainCar-v0,ppo,0,454,-146.0884,,,
MountainCar-v0,ppo,0,455,-183.611,,,
MountainCar-v0,ppo,0,456,-200.0,,,
MountainCar-v0,ppo,0,457,-152.2891,,,
MountainCar-v0,ppo,0,458,-162.1237,,,
MountainCar-v0,ppo,0,459,-139.91,,,
MountainCar-v0,ppo,0,460,-122.129,-155.3715,-155.3715,-160.252
MountainCar-v0,ppo,0,461,-179.2435,,,
MountainCar-v0,ppo,0,462,-178.6536,,,
MountainCar-v0,ppo,0,463,-179.5213,,,
MountainCar-v0,ppo,0,464,-170.5779,,,
MountainCar-v0,ppo,0,465,-177.1614,,,
MountainCar-v0,ppo,0,466,-158.3303,,,
MountainCar-v0,ppo,0,467,-172.0337,,,
MountainCar-v0,ppo,0,468,-176.3759,,,
MountainCar-v0,ppo,0,469,-161.0458,,,
MountainCar-v0,ppo,0,470,-130.7977,,,
MountainCar-v0,ppo,0,471,-172.6997,,,
MountainCar-v0,ppo,0,472,-167.3178,,,
MountainCar-v0,ppo,0,473,-180.5988,,,
MountainCar-v0,ppo,0,474,-143.8703,,,
MountainCar-v0,ppo,0,475,-135.8241,,,
MountainCar-v0,ppo,0,476,-128.5902,,,
MountainCar-v0,ppo,0,477,-183.0468,,,
MountainCar-v0,ppo,0,478,-184.7807,,,
MountainCar-v0,ppo,0,479,-146.6144,,,
MountainCar-v0,ppo,0,480,-171.7311,-155.3715,-155.3715,-169.5459
MountainCar-v0,ppo,0,481,-176.0603,,,
MountainCar-v0,ppo,0,482,-171.7769,,,
MountainCar-v0,ppo,0,483,-112.0813,,,
MountainCar-v0,ppo,0,484,-166.2014,,,
MountainCar-v0,ppo,0,485,-184.5007,,,
MountainCar-v0,ppo,0,486,-157.3679,,,
MountainCar-v0,ppo,0,487,-171.5421,,,
MountainCar-v0,ppo,0,488,-142.307,,,
MountainCar-v0,ppo,0,489,-145.1478,,,
MountainCar-v0,ppo,0,490,-158.6614,,,
MountainCar-v0,ppo,0,491,-188.9528,,,
MountainCar-v0,ppo,0,492,-200.0,,,
MountainCar-v0,ppo,0,493,-177.0408,,,
MountainCar-v0,ppo,0,494,-148.6589,,,
MountainCar-v0,ppo,0,495,-167.1828,,,
MountainCar-v0,ppo,0,496,-186.4961,,,
MountainCar-v0,ppo,0,497,-119.6364,,,
MountainCar-v0,ppo,0,498,-158.925,,,
MountainCar-v0,ppo,0,499,-188.3771,,,
MountainCar-v0,ppo,0,500,-194.8597,-155.3715,-155.3715,-154.2783
MountainCar-v0,ppo,0,501,-171.4199,,,
MountainCar-v0,ppo,0,502,-149.6667,,,
MountainCar-v0,ppo,0,503,-157.4783,,,
MountainCar-v0,ppo,0,504,-178.9835,,,
MountainCar-v0,ppo,0,505,-179.8517,,,
MountainCar-v0,ppo,0,506,-157.395,,,
MountainCar-v0,ppo,0,507,-172.6046,,,
MountainCar-v0,ppo,0,508,-170.0899,,,
MountainCar-v0,ppo,0,509,-176.2787,,,
MountainCar-v0,ppo,0,510,-164.9139,,,
MountainCar-v0,ppo,0,511,-179.0214,,,
MountainCar-v0,ppo,0,512,-128.9926,,,
MountainCar-v0,ppo,0,513,-149.1686,,,
MountainCar-v0,ppo,0,514,-147.187,,,
MountainCar-v0,ppo,0,515,-176.5811,,,
MountainCar-v0,ppo,0,516,-158.1327,,,
MountainCar-v0,ppo,0,517,-157.4524,,,
MountainCar-v0,ppo,0,518,-156.9034,,,
MountainCar-v0,ppo,0,519,-160.7921,,,
MountainCar-v0,ppo,0,520,-127.3607,-155.3715,-155.3715,-146.7198
MountainCar-v0,ppo,0,521,-151.4421,,,
MountainCar-v0,ppo,0,522,-130.8483,,,
